Wavelength (nm)	T01 Chla abs e
300.00	20487
301.00	20547
302.00	20642
303.00	20767
304.00	20899
305.00	21100
306.00	21294
307.00	21457
308.00	21717
309.00	21866
310.00	22011
311.00	22126
312.00	22248
313.00	22323
314.00	22408
315.00	22516
316.00	22713
317.00	22931
318.00	23162
319.00	23425
320.00	23728
321.00	24051
322.00	24346
323.00	24546
324.00	24648
325.00	24677
326.00	24605
327.00	24459
328.00	24206
329.00	23889
330.00	23548
331.00	23181
332.00	22881
333.00	22576
334.00	22354
335.00	22156
336.00	22018
337.00	21953
338.00	21921
339.00	21906
340.00	21919
341.00	21967
342.00	22098
343.00	22255
344.00	22499
345.00	22802
346.00	23133
347.00	23555
348.00	24082
349.00	24678
350.00	25333
351.00	26001
352.00	26740
353.00	27509
354.00	28278
355.00	29054
356.00	29792
357.00	30511
358.00	31198
359.00	31840
360.00	32424
361.00	32979
362.00	33599
363.00	34173
364.00	34841
365.00	35733
366.00	36723
367.00	37558
368.00	38551
369.00	39468
370.00	40279
371.00	40870
372.00	41366
373.00	41886
374.00	42298
375.00	42791
376.00	43087
377.00	43438
378.00	43548
379.00	43551
380.00	43700
381.00	43768
382.00	43756
383.00	43633
384.00	43451
385.00	43199
386.00	42990
387.00	42805
388.00	42713
389.00	42788
390.00	42990
391.00	43357
392.00	44125
393.00	45063
394.00	46442
395.00	48066
396.00	50070
397.00	52366
398.00	54817
399.00	57128
400.00	59443
401.00	61674
402.00	63665
403.00	65392
404.00	66876
405.00	67902
406.00	68661
407.00	69435
408.00	69853
409.00	70019
410.00	70083
411.00	69861
412.00	69446
413.00	69221
414.00	69197
415.00	69349
416.00	69985
417.00	71205
418.00	73176
419.00	75950
420.00	79423
421.00	83721
422.00	88157
423.00	92893
424.00	97748
425.00	1.0224e+05
426.00	1.0615e+05
427.00	1.0927e+05
428.00	1.1120e+05
429.00	1.1170e+05
430.00	1.1021e+05
431.00	1.0700e+05
432.00	1.0158e+05
433.00	93494
434.00	84365
435.00	74686
436.00	63987
437.00	53879
438.00	44444
439.00	36172
440.00	29094
441.00	22850
442.00	18167
443.00	14477
444.00	11402
445.00	9145.3
446.00	7344.1
447.00	5998.7
448.00	4994.7
449.00	4195.3
450.00	3636.0
451.00	3261.5
452.00	2907.5
453.00	2642.4
454.00	2440.4
455.00	2284.4
456.00	2137.2
457.00	2042.5
458.00	1915.8
459.00	1855.0
460.00	1847.5
461.00	1832.0
462.00	1841.7
463.00	1766.0
464.00	1649.6
465.00	1615.0
466.00	1617.9
467.00	1714.4
468.00	1667.2
469.00	1634.4
470.00	1665.3
471.00	1654.1
472.00	1622.8
473.00	1567.4
474.00	1595.3
475.00	1600.3
476.00	1608.5
477.00	1717.1
478.00	1669.4
479.00	1699.9
480.00	1713.3
481.00	1752.4
482.00	1823.5
483.00	1909.7
484.00	1892.4
485.00	1800.3
486.00	1695.1
487.00	2131.5
488.00	2360.8
489.00	2190.7
490.00	2108.6
491.00	2145.4
492.00	2170.0
493.00	2165.2
494.00	2160.6
495.00	2153.7
496.00	2118.4
497.00	2130.2
498.00	2162.9
499.00	2082.4
500.00	2091.6
501.00	2057.6
502.00	1996.5
503.00	2004.8
504.00	2017.6
505.00	2002.4
506.00	1985.2
507.00	1996.5
508.00	1973.7
509.00	2017.9
510.00	2036.3
511.00	2058.5
512.00	2064.8
513.00	2180.2
514.00	2267.5
515.00	2377.7
516.00	2460.1
517.00	2556.4
518.00	2714.5
519.00	2842.0
520.00	2982.6
521.00	3121.9
522.00	3242.8
523.00	3336.9
524.00	3487.0
525.00	3578.3
526.00	3629.0
527.00	3685.7
528.00	3767.7
529.00	3813.5
530.00	3826.7
531.00	3824.6
532.00	3802.3
533.00	3766.7
534.00	3767.4
535.00	3721.3
536.00	3690.8
537.00	3581.8
538.00	3482.6
539.00	3436.9
540.00	3380.0
541.00	3267.1
542.00	3141.6
543.00	3098.4
544.00	3002.6
545.00	2952.6
546.00	2902.0
547.00	2845.2
548.00	2813.2
549.00	2826.8
550.00	2877.2
551.00	2908.5
552.00	2951.3
553.00	3036.6
554.00	3179.6
555.00	3326.3
556.00	3450.5
557.00	3631.4
558.00	3822.7
559.00	4066.8
560.00	4304.8
561.00	4536.9
562.00	4789.6
563.00	5062.0
564.00	5330.3
565.00	5591.7
566.00	5879.6
567.00	6099.2
568.00	6318.3
569.00	6500.5
570.00	6636.1
571.00	6849.2
572.00	6981.5
573.00	7145.4
574.00	7147.2
575.00	7242.7
576.00	7278.3
577.00	7256.6
578.00	7073.3
579.00	7111.5
580.00	6865.8
581.00	6669.3
582.00	6267.0
583.00	6286.8
584.00	5979.4
585.00	5530.0
586.00	5424.4
587.00	5267.9
588.00	5056.5
589.00	5041.1
590.00	5032.6
591.00	5086.9
592.00	5210.7
593.00	5290.2
594.00	5609.2
595.00	5988.0
596.00	6340.0
597.00	6844.2
598.00	7319.2
599.00	7735.1
600.00	8325.1
601.00	8874.3
602.00	9417.0
603.00	9926.3
604.00	10380
605.00	10922
606.00	11318
607.00	11741
608.00	12098
609.00	12412
610.00	12650
611.00	12882
612.00	13037
613.00	13156
614.00	13180
615.00	13177
616.00	13141
617.00	13062
618.00	12839
619.00	12625
620.00	12328
621.00	12071
622.00	11732
623.00	11318
624.00	10898
625.00	10466
626.00	10008
627.00	9571.7
628.00	9155.7
629.00	8851.3
630.00	8605.6
631.00	8463.8
632.00	8368.2
633.00	8275.6
634.00	8231.1
635.00	8260.2
636.00	8364.7
637.00	8572.8
638.00	8915.6
639.00	9389.9
640.00	10101
641.00	11013
642.00	12130
643.00	13470
644.00	15094
645.00	17031
646.00	19394
647.00	22204
648.00	25528
649.00	29420
650.00	33884
651.00	38984
652.00	44755
653.00	50955
654.00	57170
655.00	65684
656.00	71830
657.00	74039
658.00	80273
659.00	84272
660.00	86088
661.00	86296
662.00	84790
663.00	81447
664.00	76780
665.00	70701
666.00	63725
667.00	56496
668.00	49119
669.00	41958
670.00	35123
671.00	29075
672.00	23784
673.00	19350
674.00	15581
675.00	12447
676.00	9992.8
677.00	8033.5
678.00	6457.9
679.00	5224.8
680.00	4270.7
681.00	3507.3
682.00	2918.8
683.00	2447.8
684.00	2072.1
685.00	1772.0
686.00	1527.9
687.00	1335.2
688.00	1177.3
689.00	1047.2
690.00	940.66
691.00	844.93
692.00	770.26
693.00	705.18
694.00	647.79
695.00	606.02
696.00	571.00
697.00	554.43
698.00	516.80
699.00	474.32
700.00	453.85
701.00	440.00
702.00	434.68
703.00	412.20
704.00	391.13
705.00	368.89
706.00	367.47
707.00	379.30
708.00	339.90
709.00	322.98
710.00	330.19
711.00	320.02
712.00	311.26
713.00	310.67
714.00	300.85
715.00	271.62
716.00	258.72
717.00	260.14
718.00	269.14
719.00	245.94
720.00	229.38
721.00	212.57
722.00	213.88
723.00	204.77
724.00	199.09
725.00	189.03
726.00	192.58
727.00	161.93
728.00	171.75
729.00	155.42
730.00	147.02
731.00	152.11
732.00	130.10
733.00	131.64
734.00	131.16
735.00	115.07
736.00	101.23
737.00	103.36
738.00	88.566
739.00	96.730
740.00	105.01
741.00	76.141
742.00	86.791
743.00	88.447
744.00	74.366
745.00	72.118
746.00	72.709
747.00	88.329
748.00	73.774
749.00	74.839
750.00	92.944
751.00	67.858
752.00	44.074
753.00	56.735
754.00	62.060
755.00	37.921
756.00	65.964
757.00	62.770
758.00	57.326
759.00	20.053
760.00	42.299
761.00	38.512
762.00	88.313
763.00	42.772
764.00	49.754
765.00	54.250
766.00	69.183
767.00	84.646
768.00	55.907
769.00	88.329
770.00	23.130
771.00	32.241
772.00	22.656
773.00	30.702
774.00	38.749
775.00	35.554
776.00	39.340
777.00	47.860
778.00	45.139
779.00	54.960
780.00	44.429
781.00	35.672
782.00	55.907
783.00	27.271
784.00	18.278
785.00	29.756
786.00	41.470
787.00	45.849
788.00	50.937
789.00	35.199
790.00	105.86
791.00	32.951
792.00	27.744
793.00	33.424
794.00	64.071
795.00	43.955
796.00	26.665
797.00	15.556
798.00	29.164
799.00	21.473
800.00	18.396
