Wavelength (nm)	T02 abs chl b e
300.00	23660
301.00	23101
302.00	23362
303.00	23639
304.00	23879
305.00	24119
306.00	24326
307.00	24459
308.00	24580
309.00	24587
310.00	24549
311.00	24527
312.00	24370
313.00	24148
314.00	23970
315.00	23763
316.00	23569
317.00	23449
318.00	23376
319.00	23391
320.00	23498
321.00	23686
322.00	23991
323.00	24310
324.00	24727
325.00	25189
326.00	25646
327.00	26149
328.00	26583
329.00	26927
330.00	27205
331.00	27367
332.00	27489
333.00	27520
334.00	27527
335.00	27439
336.00	27313
337.00	27169
338.00	27000
339.00	26786
340.00	26530
341.00	26264
342.00	25969
343.00	25618
344.00	25240
345.00	24889
346.00	24439
347.00	24061
348.00	23713
349.00	23433
350.00	23195
351.00	23002
352.00	22887
353.00	22805
354.00	22804
355.00	22756
356.00	22747
357.00	22698
358.00	22673
359.00	22562
360.00	22288
361.00	21884
362.00	21408
363.00	20903
364.00	20494
365.00	20349
366.00	20384
367.00	20223
368.00	19971
369.00	19608
370.00	19349
371.00	19074
372.00	18840
373.00	18758
374.00	18623
375.00	18550
376.00	18458
377.00	18331
378.00	18076
379.00	17651
380.00	17249
381.00	16689
382.00	16020
383.00	15228
384.00	14406
385.00	13535
386.00	12725
387.00	12000
388.00	11341
389.00	10863
390.00	10509
391.00	10240
392.00	10143
393.00	10132
394.00	10318
395.00	10532
396.00	10866
397.00	11272
398.00	11651
399.00	12046
400.00	12482
401.00	12949
402.00	13311
403.00	13649
404.00	14073
405.00	14414
406.00	14825
407.00	15370
408.00	15933
409.00	16661
410.00	17585
411.00	18624
412.00	19949
413.00	21545
414.00	23382
415.00	25533
416.00	28012
417.00	30731
418.00	33719
419.00	36856
420.00	40157
421.00	43330
422.00	46245
423.00	48730
424.00	50940
425.00	52742
426.00	54088
427.00	54958
428.00	55479
429.00	55681
430.00	55564
431.00	55363
432.00	55087
433.00	54721
434.00	54639
435.00	55000
436.00	55734
437.00	57199
438.00	59512
439.00	62704
440.00	67006
441.00	72622
442.00	78895
443.00	86397
444.00	94883
445.00	1.0418e+05
446.00	1.1408e+05
447.00	1.2372e+05
448.00	1.3321e+05
449.00	1.4186e+05
450.00	1.4955e+05
451.00	1.5504e+05
452.00	1.5879e+05
453.00	1.6000e+05
454.00	1.5909e+05
455.00	1.5587e+05
456.00	1.5077e+05
457.00	1.4384e+05
458.00	1.3545e+05
459.00	1.2628e+05
460.00	1.1687e+05
461.00	1.0700e+05
462.00	97026
463.00	86871
464.00	77084
465.00	68305
466.00	60223
467.00	52567
468.00	44938
469.00	38610
470.00	32742
471.00	27435
472.00	22836
473.00	18940
474.00	15821
475.00	13125
476.00	10928
477.00	9175.6
478.00	7683.3
479.00	6498.4
480.00	5551.1
481.00	4814.3
482.00	4273.9
483.00	3830.4
484.00	3439.6
485.00	3037.7
486.00	2778.7
487.00	3022.8
488.00	2805.8
489.00	2648.8
490.00	2631.0
491.00	2609.6
492.00	2615.2
493.00	2596.1
494.00	2592.1
495.00	2571.4
496.00	2592.7
497.00	2645.1
498.00	2701.6
499.00	2640.8
500.00	2701.4
501.00	2705.2
502.00	2716.4
503.00	2734.2
504.00	2733.3
505.00	2757.2
506.00	2748.0
507.00	2737.9
508.00	2752.4
509.00	2792.9
510.00	2809.9
511.00	2836.3
512.00	2804.3
513.00	2867.4
514.00	2920.0
515.00	2993.5
516.00	3019.5
517.00	3042.7
518.00	3144.6
519.00	3189.7
520.00	3276.4
521.00	3376.2
522.00	3487.1
523.00	3541.5
524.00	3703.6
525.00	3812.9
526.00	3912.2
