Wavelength (nm)	D10 abs e
200.00	88524
201.00	85582
202.00	83072
203.00	80858
204.00	79038
205.00	77203
206.00	75406
207.00	73559
208.00	71589
209.00	69678
210.00	67612
211.00	65386
212.00	63087
213.00	60848
214.00	58596
215.00	56552
216.00	54567
217.00	52530
218.00	50512
219.00	48614
220.00	46794
221.00	45090
222.00	43655
223.00	42187
224.00	40703
225.00	39346
226.00	37971
227.00	36808
228.00	35785
229.00	34962
230.00	34133
231.00	33381
232.00	32750
233.00	32127
234.00	31598
235.00	31244
236.00	30937
237.00	30649
238.00	30458
239.00	30282
240.00	30115
241.00	29954
242.00	29855
243.00	29752
244.00	29654
245.00	29513
246.00	29354
247.00	29222
248.00	29039
249.00	28945
250.00	28844
251.00	28844
252.00	28886
253.00	28960
254.00	29025
255.00	29087
256.00	29112
257.00	29084
258.00	29084
259.00	29238
260.00	29303
261.00	29466
262.00	29636
263.00	29884
264.00	30169
265.00	30404
266.00	30633
267.00	30790
268.00	30770
269.00	30767
270.00	30718
271.00	30728
272.00	30636
273.00	30486
274.00	30275
275.00	29944
276.00	29666
277.00	29409
278.00	29161
279.00	28792
280.00	28361
281.00	27961
282.00	27456
283.00	26930
284.00	26384
285.00	25711
286.00	25044
287.00	24266
288.00	23537
289.00	22847
290.00	22178
291.00	21538
292.00	20869
293.00	20176
294.00	19560
295.00	18986
296.00	18455
297.00	17874
298.00	17336
299.00	16849
300.00	16400
301.00	16032
302.00	15679
303.00	15451
304.00	15172
305.00	14975
306.00	14858
307.00	14701
308.00	14651
309.00	14686
310.00	14710
311.00	14729
312.00	14771
313.00	14819
314.00	14976
315.00	15081
316.00	15259
317.00	15304
318.00	15435
319.00	15470
320.00	15767
321.00	15830
322.00	15954
323.00	16069
324.00	16219
325.00	16376
326.00	16573
327.00	16794
328.00	17015
329.00	17226
330.00	17364
331.00	17549
332.00	17728
333.00	17881
334.00	18034
335.00	18135
336.00	18216
337.00	18390
338.00	18498
339.00	18587
340.00	18706
341.00	18750
342.00	18791
343.00	18910
344.00	19049
345.00	19180
346.00	19233
347.00	19348
348.00	19505
349.00	19704
350.00	19819
351.00	20070
352.00	20341
353.00	20607
354.00	20831
355.00	20977
356.00	21257
357.00	21622
358.00	21916
359.00	22247
360.00	22556
361.00	22896
362.00	23216
363.00	23612
364.00	24066
365.00	24533
366.00	25054
367.00	25748
368.00	26501
369.00	27295
370.00	28253
371.00	29304
372.00	30144
373.00	31334
374.00	32309
375.00	33453
376.00	34516
377.00	35403
378.00	36403
379.00	37245
380.00	38135
381.00	38993
382.00	39670
383.00	40505
384.00	41285
385.00	42156
386.00	43279
387.00	44318
388.00	45639
389.00	46991
390.00	48573
391.00	50207
392.00	52093
393.00	54063
394.00	56263
395.00	58301
396.00	60302
397.00	62295
398.00	64144
399.00	65950
400.00	67581
401.00	68944
402.00	70174
403.00	71320
404.00	72434
405.00	73371
406.00	74356
407.00	75262
408.00	76468
409.00	77681
410.00	79038
411.00	80722
412.00	82708
413.00	84558
414.00	86704
415.00	89184
416.00	91716
417.00	94537
418.00	97228
419.00	99784
420.00	1.0228e+05
421.00	1.0468e+05
422.00	1.0693e+05
423.00	1.0880e+05
424.00	1.1038e+05
425.00	1.1168e+05
426.00	1.1276e+05
427.00	1.1339e+05
428.00	1.1374e+05
429.00	1.1386e+05
430.00	1.1384e+05
431.00	1.1379e+05
432.00	1.1371e+05
433.00	1.1363e+05
434.00	1.1389e+05
435.00	1.1434e+05
436.00	1.1512e+05
437.00	1.1619e+05
438.00	1.1743e+05
439.00	1.1900e+05
440.00	1.2086e+05
441.00	1.2297e+05
442.00	1.2529e+05
443.00	1.2750e+05
444.00	1.2970e+05
445.00	1.3199e+05
446.00	1.3417e+05
447.00	1.3603e+05
448.00	1.3767e+05
449.00	1.3873e+05
450.00	1.3931e+05
451.00	1.3950e+05
452.00	1.3909e+05
453.00	1.3836e+05
454.00	1.3713e+05
455.00	1.3531e+05
456.00	1.3308e+05
457.00	1.3058e+05
458.00	1.2786e+05
459.00	1.2503e+05
460.00	1.2234e+05
461.00	1.1930e+05
462.00	1.1659e+05
463.00	1.1390e+05
464.00	1.1157e+05
465.00	1.0980e+05
466.00	1.0832e+05
467.00	1.0715e+05
468.00	1.0630e+05
469.00	1.0586e+05
470.00	1.0583e+05
471.00	1.0607e+05
472.00	1.0641e+05
473.00	1.0687e+05
474.00	1.0731e+05
475.00	1.0775e+05
476.00	1.0818e+05
477.00	1.0822e+05
478.00	1.0815e+05
479.00	1.0755e+05
480.00	1.0649e+05
481.00	1.0510e+05
482.00	1.0341e+05
483.00	1.0117e+05
484.00	98495
485.00	94370
486.00	92012
487.00	88956
488.00	84573
489.00	79857
490.00	75247
491.00	70679
492.00	66028
493.00	61503
494.00	56943
495.00	52555
496.00	48177
497.00	44078
498.00	40097
499.00	36366
500.00	32983
501.00	29744
502.00	26903
503.00	24087
504.00	21654
505.00	19365
506.00	17386
507.00	15621
508.00	13964
509.00	12554
510.00	11193
511.00	10112
512.00	9146.6
513.00	8269.3
514.00	7436.8
515.00	6796.1
516.00	6141.0
517.00	5547.4
518.00	5210.4
519.00	4778.7
520.00	4398.7
521.00	4031.8
522.00	3679.3
523.00	3428.7
524.00	3240.7
525.00	3031.6
526.00	2798.1
527.00	2571.8
528.00	2404.1
529.00	2299.5
530.00	2238.5
531.00	2001.3
532.00	1944.1
533.00	1843.6
534.00	1709.1
535.00	1739.5
536.00	1619.4
537.00	1427.8
538.00	1444.4
539.00	1356.9
540.00	1324.4
541.00	1208.4
542.00	1137.1
543.00	1136.7
544.00	1112.9
545.00	982.37
546.00	999.05
547.00	898.51
548.00	877.20
549.00	855.82
550.00	789.32
551.00	747.01
552.00	745.95
553.00	730.03
554.00	782.12
555.00	621.90
556.00	603.10
557.00	600.98
558.00	616.52
559.00	593.39
560.00	546.38
561.00	489.97
562.00	552.15
563.00	444.02
564.00	450.16
565.00	449.78
566.00	404.59
567.00	407.55
568.00	442.96
569.00	412.93
570.00	392.31
571.00	317.85
572.00	394.51
573.00	353.64
574.00	335.90
575.00	362.66
576.00	367.36
577.00	362.66
578.00	341.36
579.00	410.74
580.00	222.01
581.00	295.41
582.00	364.10
583.00	369.94
584.00	225.27
585.00	189.86
586.00	283.50
587.00	212.61
588.00	320.35
589.00	216.63
590.00	218.07
591.00	223.45
592.00	115.02
593.00	178.64
594.00	224.97
595.00	165.98
596.00	125.87
597.00	134.51
598.00	113.96
599.00	110.32
600.00	114.65
